,Company,Job Title,Experience,Salary,Location,Job Description
0,Hexaware Technologies Ltd.,Analytics Data science and IOT Engineer,4-7 Yrs,Not disclosed,"Mumbai, Pune", Provide end-to-end resolution for application issues support maintenance tasks as requi...
1,Novartis Healthcare Pvt. Ltd.,"Senior Scientist, QbD & Data Science",4-7 Yrs,Not disclosed,Hyderabad/Secunderabad, What you ll bring to the role: Masters or PhD in pharmaceutical sciences / chemical eng...
2,Accenture Solutions Pvt Ltd,Data Science Senior Analyst,2-5 Yrs,Not disclosed,India, Must Have Good to have Human Resources experience Additional Accenture HR systems exper...
3,Accenture Solutions Pvt Ltd,Data Science Senior Analyst,2-5 Yrs,Not disclosed,India, The HR Talent Analytics & Insights (HRTAI) team includes more than 100 professionals ac...
4,Zendrive Inc,Data Science Manager,5-7 Yrs,Not disclosed,Bangalore/Bengaluru," As a Data Science manager, you will manage and coach teams of highly skilled engineers ..."
5,Accenture Solutions Pvt Ltd,Data Science Application Developer,4-6 Yrs,Not disclosed,Bangalore/Bengaluru," Professional Attributes : 1 Experience in requirements analysis, gap analysis, requirem..."
6,MarketScope,Mentor - Data Analyst/Data Science,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR"," Should be comfortable with using new libraries and framework for Python, R, Julia Shoul..."
7,Sitel India Pvt Ltd,BA - Data Science - Full stack developer,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Chennai, Mumbai (All Areas)(WFH during Covid)", We are looking for a seasoned full-stack engineer to build out and manage our entire we...
8,OCWEN FINANCIAL SOLUTIONS PRIVATE LIMITED,Analyst/Senior Analyst/Assistant Manager - Data Science,3-8 Yrs,Not disclosed,Bangalore/Bengaluru, SUMMARY:This role will offer exposure to the complete cycle of risk modeling (model dev...
9,Cunesoft,Senior Software Developer - NLP/ Machine Learning/ Data Science,5-8 Yrs,Not disclosed,Bangalore/Bengaluru," - The individual should be self-motivated, creative and proactive, to work successfully..."
10,Cunesoft,Senior Software Developer - Nlp/machine Learning/data Science,5-8 Yrs,Not disclosed,Bangalore/Bengaluru," - The individual should be self-motivated, creative and proactive, to work successfully..."
11,Ramco Systems Limited,"Data Science Consultant
",1-4 Yrs,Not disclosed,Chennai, Qualification (Educational): To be from Reputed Management schools with Graduate/ Engin...
12,Aera Technology,Data Science Intern,0-1 Yrs,Not disclosed,Pune, BE / BTech/Masters in any engineering discipline or Masters in a Quantitative Field (Op...
13,Confidential,Sr. Data Scientist / Tech Lead - Data Science,6-9 Yrs,Not disclosed,Bangalore/Bengaluru," Education - no bar, but preferably from a Statistics academic background (eg MSc-Stats,..."
14,Philips India Limited,Research Engineer I - Data Science,2-5 Yrs,Not disclosed,Bangalore/Bengaluru, outcome in tier 1 journals and international conference PhD with 2+ years or MS with 5+...
15,Cunesoft,Software Developer - NLP /machine Learning/ Data Science,3-5 Yrs,Not disclosed,Bangalore/Bengaluru," The individual should be self-motivated, creative and proactive, to work successfully i..."
16,Cunesoft,Software Developer - NLP/ Machine Learning/ Data Science,3-5 Yrs,Not disclosed,Bangalore/Bengaluru," The individual should be self-motivated, creative and proactive, to work successfully i..."
17,Huquo Consulting Pvt. Ltd,Senior Analyst - Data Science - IIT/NIT/IIM/XLRI/FMS,2-5 Yrs,Not disclosed,Gurgaon/Gurugram," Must have strong capabilities in problem solving, managing own work diligently, thoroug..."
18,Philips India Limited,Research Associate II - Data Science,2-4 Yrs,Not disclosed,Bangalore/Bengaluru," You are responsible for Design, train and deliver custom deep learning models and compu..."
19,iMarkserv,Data Science Engineer - Predictive Modeling/Numpy,0-4 Yrs,Not disclosed,"Mumbai, Pune", Technical requirements : - Masters in Computer Science or Data ScienceShould possess ex...
