,Company,Job Title,Experience,Salary,Location,Job Description
0,Wunderman Thompson Commerce,Java Developer / Senior Developer,4-9 Yrs,Not disclosed,Noida," Experience in communicating effectively with users, other technical teams, and manageme..."
1,Tech Mahindra Ltd.,Core Java Developer (Scala / Spark),4-7 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"," He / she should be capable of understanding and solving complex problems, have solid co..."
2,Oracle India Pvt. Ltd.,Senior Java Developer-Banking,6-10 Yrs,"18,00,000 - 25,00,000 PA.","Chennai, Bangalore/Bengaluru(WFH during Covid)"," Preferred Qualifications Hands-on Java coding skills, Spring boot, Microservices, REST ..."
3,GENPACT India Private Limited,Java Developer with AWS,4-9 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)(WFH during Covid)", lOOKING FOR THE CANDIDATES GOOD EXPERIENCE IN JAVA WITH AWS.Immediate candidate preferr...
4,Future Focus Infotech Pvt. Ltd. ,Java Developer - Location Pan India - Payroll of FFI,1-5 Yrs,Not disclosed,"Bhubaneswar, Kolkata, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Should not have more than 2 years of GAPMust have all valid documentsMust to have: Java...
5,Future Focus Infotech Pvt. Ltd. ,Urgent opening For Java Developer Pan India,3-6 Yrs,"3,00,000 - 6,50,000 PA.","Bhubaneswar, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Greetings from Future Focus Infotech!!! This is Saumya from Future Focus Infotech we ha...
6,Oracle India Pvt. Ltd.,Java Developer-Bangalore or Mumbai or Chennai,4-7 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", 3+ Experience in Java & J2ee skills. Extensive experience & knowledge and skills in bac...
7,Areteans Technology Solutions Pvt. Ltd,Senior Java Developer / Lead,5-10 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru"," OCAJP / OCPJP certified(Optional) Must have good analytical, debugging, and problem-sol..."
8,Virtusa Consulting Services Pvt Ltd,Java Developer,4-9 Yrs,"8,00,000 - 18,00,000 PA.","Bangalore/Bengaluru, Mumbai (All Areas), Hyderabad(WFH during Covid)"," Experience in design, analysis, development, coding, unit testing, debug and documentat..."
9,Tata Consultancy Services Ltd.,Tcs _ Java Developer,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Ahmedabad, Delhi / NCR, Mumbai (All Areas)(WFH during Covid)", Should have worked in the distributed agile model and continuous integration Candidate ...
10,Oracle India Pvt. Ltd.,Senior Java Developer,2-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru", The Oracle CX Industry solutions team is responsible for building engaging omnichannel ...
11,SpringRole,Java Developer,5-8 Yrs,Not disclosed,Kolkata, Requirements Java developer having 5+ years of experience with following tools and tech...
12,Infiflex Technologies Private Limited,Java Developer,1-3 Yrs,"50,000 - 3,00,000 PA.",Kolkata," Hands-on experience in building web applications using programming languages (Java, Pyt..."
13,Harman Connected Services,java developer,3-3 Yrs,"50,000 PA.",Bangalore/Bengaluru(WFH during Covid)," Hi Candidates, We are looking for Immediate Joiner with Core java experience."
14,DEALERSOCKET (INDIA) PRIVATE LIMITED,Immediate Opening | Senior Java Developer | Product Organization,3-8 Yrs,"12,00,000 - 22,00,000 PA.",Bangalore/Bengaluru(WFH during Covid), OVERVIEW OF THE ROLE: We are looking for an experienced Back-end developer to join our ...
15,Sagarsoft (India) Limited,Java Developers For Jr & Sr. @ Hyderabad Location,2-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru", Good with communication and interpersonal skillsGood with Rest API & Integration
16,ASTRALINX LLP,Java Developer - Senior Chennai/B'lore,4-9 Yrs,"8,00,000 - 12,00,000 PA.","Chennai, Bangalore/Bengaluru(WFH during Covid)", Interested candidates pls drop your resume to nishanthi.gopinath@astralinx.com or call ...
17,Tech Mahindra Ltd.,Java developer- Immediate Joiners,2-4 Yrs,Not disclosed,"Kolkata, Navi Mumbai, Bangalore/Bengaluru", Should have strong expertise in SOA and Microservices Should have strong knowledge and ...
18,HCL Technologies,Virtual Drive-Online test- 7th-Aug-21 For Java developer @HCL Chennai,3-7 Yrs,Not disclosed,Chennai, Candidate should have experience in Java / J2EE developmentExperience: 3-7 Years
19,Tech Mahindra Ltd.,Opening For Java Developers: Immediate Joiners Preferred,3-8 Yrs,Not disclosed,Navi Mumbai," Should have worked at least 2 projects in Spring, JDK 8 and MicroservicesHands-on worki..."
20,Tech Mahindra Ltd.,Java Developer- Banking Client,3-8 Yrs,Not disclosed,"Navi Mumbai, Chennai"," Experience in Core Java and Spring boot, SpringMVC.Extensive experience in developing e..."
21,Persistent Systems Limited.,Java Developer-4-6 Y-Persistent Systems-Pune,4-6 Yrs,"4,00,000 - 8,50,000 PA.",Pune, Minimum 4+ years experience in Web Application Development using Java / J2EE related te...
