,Company,Job Title,Experience,Salary,Location,Job Description
0,Wunderman Thompson Commerce,Java Developer / Senior Developer,4-9 Yrs,Not disclosed,Noida," Experience in communicating effectively with users, other technical teams, and manageme..."
1,Tech Mahindra Ltd.,Core Java Developer (Scala / Spark),4-7 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"," He / she should be capable of understanding and solving complex problems, have solid co..."
2,Sutherland Global Services Inc,Senior Professional - Java Developer,3-5 Yrs,Not disclosed,Chennai, Graduation / Post graduation in Science / Engineering 3 to 5 years of development exper...
3,Oracle India Pvt. Ltd.,Java Developer-Bangalore or Mumbai or Chennai,4-7 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", 3+ Experience in Java & J2ee skills. Extensive experience & knowledge and skills in bac...
4,Harman Connected Services,java developer,3-3 Yrs,"50,000 PA.",Bangalore/Bengaluru(WFH during Covid)," Hi Candidates, We are looking for Immediate Joiner with Core java experience."
5,Cgi Group,Senior Java Developer,4-7 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid), External Title on PostingSenior Software Engineer LocationBangalore Years of Experience...
6,Oracle India Pvt. Ltd.,Senior Java Developer-Banking,6-10 Yrs,"18,00,000 - 25,00,000 PA.","Chennai, Bangalore/Bengaluru(WFH during Covid)"," Preferred Qualifications Hands-on Java coding skills, Spring boot, Microservices, REST ..."
7,Sagarsoft (India) Limited,Java Developers For Jr & Sr. @ Hyderabad Location,2-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru", Good with communication and interpersonal skillsGood with Rest API & Integration
8,DEALERSOCKET (INDIA) PRIVATE LIMITED,Immediate Opening | Senior Java Developer | Product Organization,3-8 Yrs,"12,00,000 - 22,00,000 PA.",Bangalore/Bengaluru(WFH during Covid), OVERVIEW OF THE ROLE: We are looking for an experienced Back-end developer to join our ...
9,ASTRALINX LLP,Java Developer - Senior Chennai/B'lore,4-9 Yrs,"8,00,000 - 12,00,000 PA.","Chennai, Bangalore/Bengaluru(WFH during Covid)", Interested candidates pls drop your resume to nishanthi.gopinath@astralinx.com or call ...
10,HCL Technologies,Virtual Drive-Online test- 7th-Aug-21 For Java developer @HCL Chennai,3-7 Yrs,Not disclosed,Chennai, Candidate should have experience in Java / J2EE developmentExperience: 3-7 Years
11,Tech Mahindra Ltd.,Opening For Java Developers: Immediate Joiners Preferred,3-8 Yrs,Not disclosed,Navi Mumbai," Should have worked at least 2 projects in Spring, JDK 8 and MicroservicesHands-on worki..."
12,Tech Mahindra Ltd.,Java Developer- Banking Client,3-8 Yrs,Not disclosed,"Navi Mumbai, Chennai"," Experience in Core Java and Spring boot, SpringMVC.Extensive experience in developing e..."
13,Persistent Systems Limited.,Java Developer-4-6 Y-Persistent Systems-Pune,4-6 Yrs,"4,00,000 - 8,50,000 PA.",Pune, Minimum 4+ years experience in Web Application Development using Java / J2EE related te...
14,Cibersites India Private Limited,Senior Java Developer,3-8 Yrs,"6,50,000 - 16,50,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru(WFH during Covid)"," Headquartered in Troy, Michigan, HTC has over 28 years of experience in providing IT se..."
15,Virtusa Consulting Services Pvt Ltd,Virtusa || Opportunity For Java Developer - Chennai,4-8 Yrs,"10,00,000 - 16,00,000 PA.",Chennai(WFH during Covid), Should possess good architectural knowledge and be aware of enterprise application desi...
16,Virtusa Consulting Services Pvt Ltd,Core Java Developer with Spring - Virtusa - Chennai,3-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru(WFH during Covid)", We are in the search of Core Java Developers with hands-on exp of Spring/Springboot/Mic...
17,Sigma Allied Services private Limited,core java developer,1-2 Yrs,"50,000 - 3,00,000 PA.","Noida, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Mumbai (All Areas)"," Creative thinking, willingness and ability to quickly learn new concepts and technologi..."
18,Mindteck (India) Ltd,Core Java Developer,3-8 Yrs,"8,00,000 - 10,00,000 PA.",Bangalore/Bengaluru, Roles and Responsibilities We are looking for Core java Developergood in Spring bootLoo...
19,Boxinall Softech Pvt Ltd,Senior Java Developer,4-6 Yrs,"18,00,000 - 22,50,000 PA.",Remote, Boxinall is inviting applications from Senior Developers for a Full-Time Employment. Th...
20,TrilaSoft Solutions Pvt Ltd,Sr. Java Developer - Noida,7-10 Yrs,"7,00,000 - 14,00,000 PA.",Noida(Sector-62 Noida)," 1. 7 - 10 years of Java/ J2EE architecture, design and programming experience2. 5 - 6 y..."
21,GENPACT India Private Limited,Java Developer with AWS,4-9 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)(WFH during Covid)", lOOKING FOR THE CANDIDATES GOOD EXPERIENCE IN JAVA WITH AWS.Immediate candidate preferr...
